,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text,text_string,topic_string,topic_numeric
0,0.0,0.9523000121116638, hit bro let like said pod please pods cool one,"['yo', 'bro', 'got', 'juul', 'bro', 'cmon', 'bro', 'real', 'quick', 'restroom', 'bro', 'let', 'hit', 'juul', 'bro', 'ill', 'even', 'pay', 'like']",yo bro got juul bro cmon bro real quick restroom bro let hit juul bro ill even pay like,juul usage,1.0
1,0.0,0.9521999955177307, hit bro let like said pod please pods cool one,"['@whouphitlike', 'bro', 'pls', 'lemme', 'hit', 'juul', 'pls', 'need', 'get', 'nicced', 'dude', 'pls', 'ill', 'take', 'bathroom', 'get', 'caught', 'pls', 'bro']",@whouphitlike bro pls lemme hit juul pls need get nicced dude pls ill take bathroom get caught pls bro,juul usage,1.0
2,0.0,0.942799985408783, hit bro let like said pod please pods cool one,"['@leopinkyoshi', 'bro', 'take', 'hit', 'juul', 'bro', 'bro', 'please', 'need', 'hit', 'bro', 'come', 'dude', 'need', 'morning', 'b']",@leopinkyoshi bro take hit juul bro bro please need hit bro come dude need morning b,juul usage,1.0
3,0.0,0.9283999800682068, hit bro let like said pod please pods cool one,"['parents', 'fucking', 'champions', 'threw', 'entire', 'temper', 'tantrum', 'made', 'help', 'look', 'juul', 'car']",parents fucking champions threw entire temper tantrum made help look juul car,juul usage,1.0
4,0.0,0.9283000230789185, hit bro let like said pod please pods cool one,"['mom', 'took', 'juul', 'rn', 'said', 'thank', '_', '_', 'next', 'gt', '_', '_']",mom took juul rn said thank _ _ next gt _ _,juul usage,1.0
5,0.0,0.9283000230789185, hit bro let like said pod please pods cool one,"['@slixkbaxk', 'bro', 'gon', 'lie', 'one', 'juul', 'innat', 'bitch', 'even', 'use', 'bathroom', 'g', 'move', 'around']",@slixkbaxk bro gon lie one juul innat bitch even use bathroom g move around,juul usage,1.0
6,0.0,0.9282000064849854, hit bro let like said pod please pods cool one,"['straight', 'juul', 'shit', 'expensive', 'habit', 'thought', 'shit', 'dead', 'ion', 'even', 'want', 'pods']",straight juul shit expensive habit thought shit dead ion even want pods,juul usage,1.0
7,0.0,0.921999990940094, hit bro let like said pod please pods cool one,"['grandpa', 'hit', 'juul', 'one', 'hit', 'man', 'please', 'please', 'dude', 'one', 'hit']",grandpa hit juul one hit man please please dude one hit,juul usage,1.0
8,0.0,0.921999990940094, hit bro let like said pod please pods cool one,"['bro', 'let', 'take', 'hit', 'juul', 'bro', 'one', 'hit', 'bro', 'please', 'bro']",bro let take hit juul bro one hit bro please bro,juul usage,1.0
9,0.0,0.9218999743461609, hit bro let like said pod please pods cool one,"['barbara', 'made', '#switchtojuul', 'hear', 'adult', 'smokers', 'made', 'switch', 'join', '#juul', 'community']",barbara made #switchtojuul hear adult smokers made switch join #juul community,juul usage,1.0
10,0.0,0.9218000173568726, hit bro let like said pod please pods cool one,"['lost', 'juul', 'charger', 'someone', 'send', 'help', 'really', 'gonna', 'go', 'hull', 'run', 'juul', 'charger']",lost juul charger someone send help really gonna go hull run juul charger,juul usage,1.0
11,0.0,0.9218000173568726, hit bro let like said pod please pods cool one,"['ya', 'girl', 'really', 'retire', 'juul', 'life', 'get', 'cute', 'ass', 'vape', 'wait']",ya girl really retire juul life get cute ass vape wait,juul usage,1.0
12,0.0,0.9217000007629395, hit bro let like said pod please pods cool one,"['since', 'came', 'market', 'juul', 'become', 'catnip', 'teenagers', 'drilled', 'since', 'preschool', 'day']",since came market juul become catnip teenagers drilled since preschool day,juul usage,1.0
13,0.0,0.920199990272522, hit bro let like said pod please pods cool one,"['bro', 'lemme', 'hit', 'juul', 'pls', 'bro', 'one', 'hit', 'cmon', 'bro', 'one', 'hit', 'bro', 'mines', 'dead', 'bro', 'pls', 'pls', 'bro', 'one', 'hit', 'bro', 'one', 'hit', 'bro']",bro lemme hit juul pls bro one hit cmon bro one hit bro mines dead bro pls pls bro one hit bro one hit bro,juul usage,1.0
14,0.0,0.9157999753952026, hit bro let like said pod please pods cool one,"['bro', 'please', 'bro', 'lemme', 'hit', 'juul', 'please', 'get', 'caught', 'bro', 'ill', 'take', 'bathroom', 'let', 'hit', 'juul']",bro please bro lemme hit juul please get caught bro ill take bathroom let hit juul,juul usage,1.0
15,0.0,0.9140999913215637, hit bro let like said pod please pods cool one,"['shark', 'bites', 'swims', 'away', 'ew', 'tasted', 'like', 'juul', 'pods', 'spray', 'tan', 'wtf']",shark bites swims away ew tasted like juul pods spray tan wtf,juul usage,1.0
16,0.0,0.9139999747276306, hit bro let like said pod please pods cool one,"['well', 'kid', 'dressed', 'juul', 'two', 'friends', 'run', 'security', 'ran', 'school']",well kid dressed juul two friends run security ran school,juul usage,1.0
17,0.0,0.9139999747276306, hit bro let like said pod please pods cool one,"['forgot', 'juul', 'charger', 'work', 'thats', 'another', 'great', 'part', 'life', 'right']",forgot juul charger work thats another great part life right,juul usage,1.0
18,0.0,0.9139000177383423, hit bro let like said pod please pods cool one,"['always', 'takin', 'shit', 'tobacco', 'juul', 'pod', 'one', 'right', 'shit', 'lowk']",always takin shit tobacco juul pod one right shit lowk,juul usage,1.0
19,0.0,0.904699981212616, hit bro let like said pod please pods cool one,"['#snowwolf', '@2755602880pepe', '#lotusvapeandsmokeshop', '#vape', '#mods', '#eliquids', '#saltbaseliquid', '#juul', '#myle', '#fumapods']",#snowwolf @2755602880pepe #lotusvapeandsmokeshop #vape #mods #eliquids #saltbaseliquid #juul #myle #fumapods,juul usage,1.0
20,0.0,0.904699981212616, hit bro let like said pod please pods cool one,"['oral', 'fixation', 'tip', 'whenever', 'want', 'hit', 'juul', 'suck', 'dick']",oral fixation tip whenever want hit juul suck dick,juul usage,1.0
21,0.0,0.9046000242233276, hit bro let like said pod please pods cool one,"['@extremeblit', 'bro', 'please', 'give', 'juul', 'bro', 'please', 'get', 'caught', 'bro']",@extremeblit bro please give juul bro please get caught bro,juul usage,1.0
22,0.0,0.9045000076293945, hit bro let like said pod please pods cool one,"['professor', 'asked', 'girl', 'class', 'today', 'demonstrate', 'use', 'juul', 'congratulated', 'cool', 'suave']",professor asked girl class today demonstrate use juul congratulated cool suave,juul usage,1.0
23,0.0,0.9043999910354614, hit bro let like said pod please pods cool one,"['hits', 'juul', 'damn', 'lucid', 'dreams', 'juice', 'wrld', 'goes', 'hard']",hits juul damn lucid dreams juice wrld goes hard,juul usage,1.0
24,0.0,0.9043999910354614, hit bro let like said pod please pods cool one,"['girl', 'hit', 'juul', 'next', 'class', 'acted', 'like', 'see', 'lmao']",girl hit juul next class acted like see lmao,juul usage,1.0
25,0.0,0.9043999910354614, hit bro let like said pod please pods cool one,"['someone', 'stole', 'juul', 'lmao', 'thats', 'bum', 'shit', 'bum', 'one']",someone stole juul lmao thats bum shit bum one,juul usage,1.0
26,0.0,0.9042999744415283, hit bro let like said pod please pods cool one,"['never', 'thought', 'hear', 'let', 'hit', 'juul', 'bro', 'unironically', 'know', 'handle']",never thought hear let hit juul bro unironically know handle,juul usage,1.0
27,0.0,0.9042999744415283, hit bro let like said pod please pods cool one,"['took', 'money', 'breakfast', 'juul', 'pods', 'send', 'back', '#findom', '#alphacouple', '#cashmaster']",took money breakfast juul pods send back #findom #alphacouple #cashmaster,juul usage,1.0
28,0.0,0.892799973487854, hit bro let like said pod please pods cool one,"['friday', 'october', '26th', '9pm', '@p_kelley33', 'rips', 'juul', 'stay', 'tuned', 'frat', 'activity']",friday october 26th 9pm @p_kelley33 rips juul stay tuned frat activity,juul usage,1.0
